stack,ind,Cell_Label
stack_1,104_001,15.0
stack_1,103_002,23.0
stack_1,102_022,24.0
stack_1,101_009,25.0
stack_1,100_014,25.0
stack_1,099_028,26.0
stack_1,098_016,10.0
stack_1,097_002,24.0
stack_1,082_016,25.0
stack_1,096_011,23.0
stack_1,094_031,24.0
stack_1,092_003,14.0
stack_1,091_021,18.0
stack_1,090_003,24.0
stack_1,089_026,21.0
stack_1,088_014,18.0
stack_1,087_009,18.0
stack_1,086_003,13.0
stack_1,085_021,7.0
stack_1,084_009,22.0
stack_1,095_006,14.0
stack_1,058_002,12.0
stack_1,054_013,14.0
stack_1,056_003,15.0
stack_1,029_003,4.0
stack_1,028_006,5.0
stack_1,027_007,9.0
stack_1,026_005,
stack_1,025_007,8.0
stack_1,024_007,5.0
stack_1,023_006,2.0
stack_1,022_004,3.0
stack_1,021_002,8.0
stack_1,020_005,7.0
stack_1,019_004,3.0
stack_1,018_003,8.0
stack_1,017_006,5.0
stack_1,016_003,3.0
stack_1,015_001,8.0
stack_1,014_001,3.0
stack_1,013_006,3.0
stack_1,012_002,8.0
stack_1,011_003,3.0
stack_1,010_003,5.0
stack_1,009_007,6.0
stack_1,030_006,5.0
stack_1,031_002,3.0
stack_1,008_002,5.0
stack_1,033_006,4.0
stack_1,032_005,4.0
stack_1,055_002,14.0
stack_1,053_010,14.0
stack_1,052_005,15.0
stack_1,051_003,8.0
stack_1,050_009,15.0
stack_1,049_014,14.0
stack_1,048_001,15.0
stack_1,047_011,13.0
stack_1,046_003,13.0
stack_1,045_011,14.0
stack_1,057_003,13.0
stack_1,043_008,8.0
stack_1,042_004,14.0
stack_1,041_008,14.0
stack_1,040_014,11.0
stack_1,039_003,12.0
stack_1,038_004,10.0
stack_1,037_006,12.0
stack_1,036_001,10.0
stack_1,035_002,15.0
stack_1,034_010,11.0
stack_1,044_010,11.0
stack_1,071_013,17.0
stack_1,072_005,22.0
stack_1,073_014,17.0
stack_1,077_005,30.0
stack_1,075_016,21.0
stack_1,076_017,31.0
stack_1,070_007,4.0
stack_1,074_012,22.0
stack_1,069_009,2.0
stack_1,065_011,4.0
stack_1,067_007,17.0
stack_1,066_014,15.0
stack_1,078_014,31.0
stack_1,064_014,7.0
stack_1,063_014,6.0
stack_1,062_015,15.0
stack_1,061_015,17.0
stack_1,060_014,10.0
stack_1,059_012,10.0
stack_1,058_002,12.0
stack_1,068_012,1.0
stack_1,079_013,30.0
stack_1,085_009,4.0
stack_1,081_031,31.0
stack_1,057_003,13.0
stack_1,103_033,12.0
stack_1,102_023,29.0
stack_1,101_008,27.0
stack_1,100_006,28.0
stack_1,099_013,21.0
stack_1,098_008,6.0
stack_1,097_013,29.0
stack_1,096_018,30.0
stack_1,095_020,20.0
stack_1,094_013,19.0
stack_1,093_007,1.0
